filename,culture,search_query,title,source_url,author,license,license_url,image_hash
european_doll_001.jpg,European/Western,,"File:Dolls, set of (AM 2001.25.960-1).jpg","https://commons.wikimedia.org/wiki/File:Dolls,_set_of_(AM_2001.25.960-1).jpg","<div class=""fn value"">
Unknown author<span style=""display: none;"">Unknown author</span></div>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,e7eccc92427243783e84ee39b1811396
european_doll_002.jpg,European/Western,,"File:Dolls, set of (AM 2001.25.960-2).jpg","https://commons.wikimedia.org/wiki/File:Dolls,_set_of_(AM_2001.25.960-2).jpg","<div class=""fn value"">
Unknown author<span style=""display: none;"">Unknown author</span></div>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,07df8cfedadfbbd4791b1dc56f723c92
european_doll_003.jpg,European/Western,,"File:Dolls, set of (AM 2001.25.960-3).jpg","https://commons.wikimedia.org/wiki/File:Dolls,_set_of_(AM_2001.25.960-3).jpg","<div class=""fn value"">
Unknown author<span style=""display: none;"">Unknown author</span></div>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,fad6bdbfd480c62ac9c04c48bd57ebf6
european_doll_004.jpg,European/Western,,"File:Dolls, set of (AM 2001.25.960-4).jpg","https://commons.wikimedia.org/wiki/File:Dolls,_set_of_(AM_2001.25.960-4).jpg","<div class=""fn value"">
Unknown author<span style=""display: none;"">Unknown author</span></div>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,b8ee7cb9a7cb6583abe82ab94b540017
european_doll_005.jpg,European/Western,,"File:Dolls, set of (AM 2001.25.960-5).jpg","https://commons.wikimedia.org/wiki/File:Dolls,_set_of_(AM_2001.25.960-5).jpg","<div class=""fn value"">
Unknown author<span style=""display: none;"">Unknown author</span></div>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,3a9d677e04f3e5813430872702122967
european_doll_006.jpg,European/Western,,"File:Dolls, set of (AM 2001.25.960-6).jpg","https://commons.wikimedia.org/wiki/File:Dolls,_set_of_(AM_2001.25.960-6).jpg","<div class=""fn value"">
Unknown author<span style=""display: none;"">Unknown author</span></div>",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,583360956b1a7c86c92552aa4230fba6
european_doll_007.jpg,European/Western,,"File:Wellcome museum, primitive medicine, figures Wellcome M0012317.jpg","https://commons.wikimedia.org/wiki/File:Wellcome_museum,_primitive_medicine,_figures_Wellcome_M0012317.jpg",,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,e55a65f84eea200edf658d452a87c4d9
european_doll_008.jpg,European/Western,,File:CostumeDoll KoreanCourtMusician Made-DPRK pre1958 Leipzig-Völkerkundemuseum 20190228.jpg,https://commons.wikimedia.org/wiki/File:CostumeDoll_KoreanCourtMusician_Made-DPRK_pre1958_Leipzig-Völkerkundemuseum_20190228.jpg,"unknown designer, photo <a href=""//commons.wikimedia.org/wiki/User:Zenwort"" title=""User:Zenwort"">User:Zenwort</a>",Public domain,,b05dfdb58cb88cf95d978eb71a3806f3
european_doll_009.jpg,European/Western,,"File:Print, Jenny Lind Paper Doll Costume, Valentine from the opera ""Die Hugenotten"" (The Huguenots), ca. 1850 (CH 18392589).jpg","https://commons.wikimedia.org/wiki/File:Print,_Jenny_Lind_Paper_Doll_Costume,_Valentine_from_the_opera_""Die_Hugenotten""_(The_Huguenots),_ca._1850_(CH_18392589).jpg","<div class=""fn value"">
Unknown artist<span style=""display: none;"">Unknown artist</span></div>",Public domain,,70aeedd9d52dddb7dce100025f2b80b5
european_doll_010.jpg,European/Western,,File:Be my baby.jpg,https://commons.wikimedia.org/wiki/File:Be_my_baby.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Holokolo&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Holokolo (page does not exist)"">Holokolo</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,f3a48e2ccf84044b62ea61b4fb562a66
