flat_name,culture,original_filename
b2dfd1dd.jpg,European,european_doll_007.jpg
d03adb19.jpg,Japanese,japanese_027.jpg
d7f34f61.jpg,African,african_022.jpg
39472947.jpg,Japanese,japanese_003.jpg
93b21274.jpg,African,african_023.jpg
2f37bca2.jpg,European,european_doll_024.jpg
de4288d5.jpg,Indian,indian_015.jpg
41a4655d.jpg,European,european_doll_013.jpg
e9b2a329.jpg,European,european_doll_008.jpg
082ec45e.jpg,Japanese,japanese_014.jpg
5305f35a.jpg,Japanese,japanese_011.jpg
ae40a235.jpg,Japanese,japanese_001.jpg
a49990ab.jpg,African,african_020.jpg
85a85844.jpg,European,european_doll_021.jpg
fe7eaab3.jpg,Japanese,japanese_023.jpg
4998c8ef.jpg,European,european_doll_027.jpg
d8fafcae.jpg,Indian,indian_001.jpg
aba5e5a5.jpg,Indian,indian_005.jpg
576f4712.jpg,Japanese,japanese_005.jpg
7302f09b.jpg,Japanese,japanese_009.jpg
e3ef8da2.jpg,African,african_024.jpg
01becf2b.jpg,European,european_doll_015.jpg
0764bd88.jpg,European,european_doll_025.jpg
d40da8ba.jpg,African,african_029.jpg
cbedab3e.jpg,Japanese,japanese_022.jpg
efbed429.jpg,Japanese,japanese_007.jpg
72af5676.jpg,Japanese,japanese_016.jpg
f7fd2361.jpg,Japanese,japanese_029.jpg
f34c1b45.jpg,Indian,indian_008.jpg
e66651fd.jpg,European,european_doll_026.jpg
a26fe6ec.jpg,Indian,indian_002.jpg
2806d7a3.jpg,Japanese,japanese_013.jpg
c4612bb0.jpg,African,african_026.jpg
3942948e.jpg,Japanese,japanese_010.jpg
26b33838.jpg,European,european_doll_022.jpg
2fe142af.jpg,Japanese,japanese_017.jpg
7f310453.jpg,African,african_028.jpg
a524c5d7.jpg,African,african_001.jpg
cc32b0c4.jpg,Japanese,japanese_025.jpg
39eea7c6.jpg,Japanese,japanese_021.jpg
0df3510e.jpg,Japanese,japanese_026.jpg
f9e4a23a.jpg,Japanese,japanese_012.jpg
aba761d2.jpg,European,european_doll_028.jpg
a3b83708.jpg,Japanese,japanese_020.jpg
4e7b17ce.jpg,Japanese,japanese_002.jpg
fc87c150.jpg,Japanese,japanese_006.jpg
5bbcb266.jpg,African,african_030.jpg
9eaa8a44.jpg,Japanese,japanese_028.jpg
81bcf110.jpg,Japanese,japanese_015.jpg
acf80236.jpg,Indian,indian_010.jpg
e049c3e9.jpg,Indian,indian_004.jpg
e48762f1.jpg,Japanese,japanese_030.jpg
3eb63291.jpg,Japanese,japanese_024.jpg
eea059e0.jpg,Japanese,japanese_019.jpg
cf3ac9b7.jpg,African,african_005.jpg
d7ba8e50.jpg,African,african_015.jpg
6fb16e36.jpg,European,european_doll_029.jpg
15d4caa7.jpg,Indian,indian_009.jpg
b19ecd7f.jpg,African,african_021.jpg
d0214865.jpg,Indian,indian_006.jpg
4d987ae2.jpg,Japanese,japanese_018.jpg
65ca1fea.jpg,Japanese,japanese_008.jpg
b2f091a4.jpg,Japanese,japanese_004.jpg
a9507775.jpg,European,european_doll_001.jpg
833b9324.jpg,European,european_doll_009.jpg
de2fcf43.jpg,European,european_doll_030.jpg
1dd0be23.jpg,Indian,indian_003.jpg
f8fa223f.jpg,Indian,indian_007.jpg
1999b7be.jpg,African,african_016.jpg
7bd2b58f.jpg,European,european_doll_006.jpg
